id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code,cluster_id,anomaly_score,is_anomaly,pca_x,pca_y
malware--75ecdbf1-c2bb-4afc-a3f9-c8da4de8c661,WannaCry,malware,S0366,ics,Windows,enterprise-attack | ics-attack,,1,2,3,0.0157894736842105,0.0052631578947368,0.0105263157894736,0.0,0.0052631578947368,1,1,2,0,8,0,4,2,1,0,-2.2488943542603095,-0.719164262956411
malware--80099a91-4c86-4bea-9ccb-dac55d61960e,Triton,malware,S1009,ics,,ics-attack,,2,18,20,0.1052631578947368,0.0105263157894736,0.0947368421052631,0.0,0.0105263157894736,0,0,1,0,6,0,4,0,-1,1,-2.053541991058458,4.82769535653263
malware--931e2489-8078-4f9f-85b2-a9211950e75b,Fuxnet,malware,S1157,ics,Input/Output Server | Control Server,ics-attack,,0,6,6,0.031578947368421,0.0,0.031578947368421,0.0,0.0,2,2,1,0,6,0,4,2,1,0,-2.68282982357507,0.4484701720285038
malware--a020a61c-423f-4195-8c46-ba1d21abba37,Ryuk,malware,S0446,ics,Windows,enterprise-attack | ics-attack,,2,1,3,0.0157894736842105,0.0105263157894736,0.0052631578947368,0.0,0.0105263157894736,3,1,2,0,4,0,4,2,1,0,-1.9726894361375629,-0.964707619369672
malware--a4a98eab-b691-45d9-8c48-869ef8fefd57,ACAD/Medre.A,malware,S1000,ics,,ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,0,0,1,0,12,0,4,2,1,0,-1.6654054354831989,-1.2683482540378612
malware--ac61f1f9-7bb1-465e-9b8a-c2ce8e88baf5,REvil,malware,S0496,ics,Windows,enterprise-attack | ics-attack,,2,8,10,0.0526315789473684,0.0105263157894736,0.0421052631578947,0.0,0.0105263157894736,1,1,2,0,5,0,4,2,1,0,-2.3212005344844306,1.628574225521723
malware--b34df04a-9d30-4d84-a03f-0d536ee19a05,FrostyGoop,malware,S1165,ics,Control Server | Field Controller/RTU/PLC/IED,ics-attack,,1,5,6,0.031578947368421,0.0052631578947368,0.0263157894736842,0.0002127541074909,0.0052631578947368,2,2,1,0,10,0,4,2,1,0,-2.424487487892437,0.8188507600598816
malware--d3aa1058-b1b3-4c29-a3ba-9a9b90ccd93b,INCONTROLLER,malware,S1045,ics,Field Controller/RTU/PLC/IED | Safety Instrumented System/Protection Relay | Engineering Workstation | Windows,ics-attack,,0,17,17,0.0894736842105263,0.0,0.0894736842105263,0.0,0.0,2,4,1,0,12,0,4,0,-1,1,-3.93217452651763,4.811062185159171
malware--e221eb77-1502-4129-af1d-fe1ad55e7ec6,KillDisk,malware,S0607,ics,Linux | Windows,enterprise-attack | ics-attack,,3,4,7,0.0368421052631578,0.0157894736842105,0.0210526315789473,0.0002127541074909,0.0157894736842105,2,2,2,0,8,0,4,2,-1,1,-2.2459668246669264,1.1161996876908498
malware--e401d4fe-f0c9-44f0-98e6-f93487678808,Industroyer,malware,S0604,ics,Windows,enterprise-attack | ics-attack,,2,24,26,0.1368421052631579,0.0105263157894736,0.1263157894736842,0.0012233361180729,0.0105263157894736,2,1,2,0,11,0,4,0,-1,1,-4.241080405647699,9.722035256180492
malware--ff6840c9-4c87-4d07-bbb6-9f50aa33d498,Flame,malware,S0143,ics,Windows,enterprise-attack | ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,0,1,2,0,5,0,4,2,1,0,-2.571940899048113,-0.9259255306275852
x-mitre-tactic--298fe907-7931-4fd2-8131-2814dd493134,Inhibit Response Function,x-mitre-tactic,TA0107,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,1,0,25,0,5,2,1,0,-1.8620671253874257,-2.4228404258750897
x-mitre-tactic--33752ae7-f875-4f43-bdb6-d8d02d341046,Privilege Escalation,x-mitre-tactic,TA0111,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,1,0,20,0,5,2,1,0,-1.948591476562204,-2.5154594384336226
x-mitre-tactic--51c25a9e-8615-40c0-8afd-1da578847924,Lateral Movement,x-mitre-tactic,TA0109,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,1,0,16,0,5,2,1,0,-2.0245166656009665,-2.6033064744309815
x-mitre-tactic--696af733-728e-49d7-8261-75fdc590f453,Discovery,x-mitre-tactic,TA0102,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,10,0,1,0,9,0,5,2,1,0,-2.1322393410477773,-2.7054694401118606
x-mitre-tactic--69da72d2-f550-41c5-ab9e-e8255707f28a,Initial Access,x-mitre-tactic,TA0108,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,1,0,14,0,5,2,1,0,-2.1127720708623943,-2.750368687058661
x-mitre-tactic--77542f83-70d0-40c2-8a9d-ad2eb8b00279,Impact,x-mitre-tactic,TA0105,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,12,0,1,0,6,0,5,2,1,0,-2.2310939084452213,-2.857303629300713
x-mitre-tactic--78f1d2ae-a579-44c4-8fc5-3e1775c73fac,Persistence,x-mitre-tactic,TA0110,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,13,0,1,0,11,0,5,2,1,0,-2.211626638259838,-2.9022028762475127
x-mitre-tactic--93bf9a8e-b14c-4587-b6d5-9efc7c12eb45,Execution,x-mitre-tactic,TA0104,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,14,0,1,0,9,0,5,2,1,0,-2.266353503026568,-2.9805059591225254
x-mitre-tactic--97c8ff73-bd14-4b6c-ac32-3d91d2c41e3f,Command and Control,x-mitre-tactic,TA0101,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,1,0,19,0,5,2,1,0,-2.193890422161105,-3.0015453232634592
x-mitre-tactic--b2a67b1e-913c-46f6-b219-048a90560bb9,Collection,x-mitre-tactic,TA0100,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,16,0,1,0,10,0,5,2,1,0,-2.3228114218799476,-3.113252242066685
x-mitre-tactic--ddf70682-f3ce-479c-a9a4-7eadf9bfead7,Evasion,x-mitre-tactic,TA0103,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,17,0,1,0,7,0,5,2,1,0,-2.388137448782694,-3.196327301502871
x-mitre-tactic--ff048b6c-b872-4218-b68c-3735ebd1f024,Impair Process Control,x-mitre-tactic,TA0106,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,18,0,1,0,22,0,5,2,1,0,-2.2626785572371495,-3.193506782837938
attack-pattern--008b8f56-6107-48be-aa9f-746f927dbb61,Block Command Message,attack-pattern,T0803,ics,,ics-attack,inhibit-response-function,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0286549707602339,2,0,1,1,21,0,0,1,1,0,1.6846806110601833,-0.59671710005096
attack-pattern--063b5b92-5361-481a-9c3f-95492ed9a2d8,Service Stop,attack-pattern,T0881,ics,,ics-attack,inhibit-response-function,9,0,9,0.0473684210526315,0.0473684210526315,0.0,0.0,0.056390977443609,3,0,1,1,12,0,0,1,1,0,2.977311807555755,0.36351746262781975
attack-pattern--097924ce-a9a9-4039-8591-e0deedfb8722,Modify Parameter,attack-pattern,T0836,ics,,ics-attack,impair-process-control,10,0,10,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0530701754385964,2,0,1,1,16,0,0,1,1,0,3.220753407673588,0.6777320791029409
attack-pattern--09a61657-46e1-439e-b3ed-3e4556a78243,Modify Controller Tasking,attack-pattern,T0821,ics,,ics-attack,execution,7,0,7,0.0368421052631578,0.0368421052631578,0.0,0.0,0.038755980861244,0,0,1,1,25,0,0,1,1,0,2.435897787387857,0.08057195323747537
attack-pattern--0fe075d5-beac-4d02-b93e-0f874997db72,Wireless Sniffing,attack-pattern,T0887,ics,,ics-attack,discovery | collection,2,0,2,0.0105263157894736,0.0105263157894736,0.0,0.0,0.0105263157894736,0,0,1,2,17,0,0,1,1,0,1.3393471156611432,-1.2601466430554442
attack-pattern--138979ba-0430-4de6-a128-2fc0b056ba36,Loss of View,attack-pattern,T0829,ics,,ics-attack,impact,9,0,9,0.0473684210526315,0.0473684210526315,0.0,0.0,0.0542936288088642,2,0,1,1,12,0,0,1,1,0,2.9724161776939924,0.42376477513154703
attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,Activate Firmware Update Mode,attack-pattern,T0800,ics,,ics-attack,inhibit-response-function,9,0,9,0.0473684210526315,0.0473684210526315,0.0,0.0,0.0489878542510121,0,0,1,1,29,0,0,1,1,0,3.12245534455835,0.6208738386951119
attack-pattern--1af9e3fd-2bcc-414d-adbd-fe3b95c02ca1,Manipulation of Control,attack-pattern,T0831,ics,,ics-attack,impact,6,0,6,0.031578947368421,0.031578947368421,0.0,0.0,0.0336842105263157,2,0,1,1,23,0,0,1,1,0,2.026371071181586,-0.32691800555652034
attack-pattern--1b22b676-9347-4c55-9a35-ef0dc653db5b,Denial of Service,attack-pattern,T0814,ics,,ics-attack,inhibit-response-function,7,0,7,0.0368421052631578,0.0368421052631578,0.0,0.0,0.0404858299595141,2,0,1,1,17,0,0,1,1,0,2.3157388579048988,-0.08810175068452716
attack-pattern--1c478716-71d9-46a4-9a53-fa5d576adb60,Block Serial COM,attack-pattern,T0805,ics,,ics-attack,inhibit-response-function,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0286549707602339,2,0,1,1,16,0,0,1,1,0,1.6316848003801026,-0.6205769828568263
attack-pattern--1c5cf58c-a34a-40d7-82f4-f987cdfc2b91,System Binary Proxy Execution,attack-pattern,T0894,ics,,ics-attack,evasion,2,0,2,0.0105263157894736,0.0105263157894736,0.0,0.0,0.0105263157894736,1,0,1,1,29,0,0,1,1,0,0.7858150217688348,-1.282888824712124
attack-pattern--24a9253e-8948-4c98-b751-8e2aee53127c,Command-Line Interface,attack-pattern,T0807,ics,,ics-attack,execution,9,0,9,0.0473684210526315,0.0473684210526315,0.0,0.0,0.0478468899521531,1,0,1,1,22,0,0,1,1,0,2.993829798761931,0.5140804174769097
attack-pattern--25852363-5968-4673-b81d-341d5ed90bd1,Point & Tag Identification,attack-pattern,T0861,ics,,ics-attack,collection,10,0,10,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0530701754385964,0,0,1,1,26,0,0,1,1,0,3.3938021100231452,0.8629701042200059
attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,Device Restart/Shutdown,attack-pattern,T0816,ics,,ics-attack,inhibit-response-function,11,0,11,0.0578947368421052,0.0578947368421052,0.0,0.0,0.059298245614035,0,0,1,1,23,0,0,1,1,0,3.704459757468009,1.1137746135457351
attack-pattern--2736b752-4ec5-4421-a230-8977dea7649c,User Execution,attack-pattern,T0863,ics,,ics-attack,execution,10,0,10,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0573099415204678,1,0,1,1,14,0,0,1,1,0,3.3107576412258477,0.754153796157347
attack-pattern--2877063e-1851-48d2-bcc6-bc1d2733157e,Wireless Compromise,attack-pattern,T0860,ics,,ics-attack,initial-access,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0263157894736842,0,0,1,1,19,0,0,1,1,0,1.6876847375267365,-0.47823605735022867
attack-pattern--2883c520-7957-46ca-89bd-dab1ad53b601,Change Operating Mode,attack-pattern,T0858,ics,,ics-attack,execution | evasion,10,0,10,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0541353383458646,0,0,1,2,21,0,0,1,1,0,4.007513960362077,0.8546798174789735
attack-pattern--2900bbd8-308a-4274-b074-5b8bde8347bc,Alarm Suppression,attack-pattern,T0878,ics,,ics-attack,inhibit-response-function,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0263157894736842,2,0,1,1,17,0,0,1,1,0,1.5994293322653088,-0.6252982699779076
attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,Detect Operating Mode,attack-pattern,T0868,ics,,ics-attack,collection,9,0,9,0.0473684210526315,0.0473684210526315,0.0,0.0,0.0489878542510121,0,0,1,1,21,0,0,1,1,0,3.0376620474702207,0.5826980262057259
attack-pattern--2bb4d762-bf4a-4bc3-9318-15cc6a354163,Loss of Protection,attack-pattern,T0837,ics,,ics-attack,impact,1,0,1,0.0052631578947368,0.0052631578947368,0.0,0.0,0.0094736842105263,2,0,1,1,18,0,0,2,1,0,0.3880564333549655,-1.6482562897499564
attack-pattern--2d0d40ad-22fa-4cc8-b264-072557e1364b,Monitor Process State,attack-pattern,T0801,ics,,ics-attack,collection,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0306220095693779,2,0,1,1,21,0,0,1,1,0,1.7207174592256358,-0.5887341283181553
attack-pattern--2dc2b567-8821-49f9-9045-8740f3d0b958,Scripting,attack-pattern,T0853,ics,,ics-attack,execution,10,0,10,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0555921052631579,1,0,1,1,9,0,0,1,1,0,3.226290461455329,0.7233222978348252
attack-pattern--2fedbe69-581f-447d-8a78-32ee7db939a9,Remote System Information Discovery,attack-pattern,T0888,ics,,ics-attack,discovery,6,0,6,0.031578947368421,0.031578947368421,0.0,0.0,0.0355263157894736,2,0,1,1,35,0,0,1,1,0,2.1873090381362927,-0.2621783416726657
attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,Program Upload,attack-pattern,T0845,ics,,ics-attack,collection,10,0,10,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0541353383458646,0,0,1,1,14,0,0,1,1,0,3.28612632638016,0.8100292109126678
attack-pattern--32632a95-6856-47b9-9ab7-fea5cd7dce00,Exploit Public-Facing Application,attack-pattern,T0819,ics,,ics-attack,initial-access,7,0,7,0.0368421052631578,0.0368421052631578,0.0,0.0,0.0368421052631578,1,0,1,1,33,0,0,1,1,0,2.4520996646851696,0.04222142023416845
attack-pattern--3405891b-16aa-4bd7-bd7c-733501f9b20f,Data from Information Repositories,attack-pattern,T0811,ics,,ics-attack,collection,7,0,7,0.0368421052631578,0.0368421052631578,0.0,0.0,0.0368421052631578,0,0,1,1,34,0,0,1,1,0,2.4962273673158837,0.11575252654800795
attack-pattern--35392fb4-a31d-4c6a-b9f2-1c65b7f5e6b9,Transient Cyber Asset,attack-pattern,T0864,ics,,ics-attack,initial-access,6,0,6,0.031578947368421,0.031578947368421,0.0,0.0,0.031578947368421,0,0,1,1,21,0,0,1,1,0,2.0336606606732213,-0.2074876364875633
attack-pattern--36e9f5bc-ac13-4da4-a2f4-01f4877d9004,Manipulate I/O Image,attack-pattern,T0835,ics,,ics-attack,inhibit-response-function,3,0,3,0.0157894736842105,0.0157894736842105,0.0,0.0,0.0157894736842105,0,0,1,1,20,0,0,1,1,0,1.0487287019138436,-0.9958730162696956
attack-pattern--38213338-1aab-479d-949b-c81b66ccca5c,Network Sniffing,attack-pattern,T0842,ics,,ics-attack,discovery,8,0,8,0.0421052631578947,0.0421052631578947,0.0,0.0,0.0426315789473684,4,0,1,1,16,0,0,1,1,0,2.5057481775696906,0.01816088150505315
attack-pattern--3b6b9246-43f8-4c69-ad7a-2b11cfe0a0d9,Rootkit,attack-pattern,T0851,ics,,ics-attack,evasion | inhibit-response-function,3,0,3,0.0157894736842105,0.0157894736842105,0.0,0.0,0.0157894736842105,0,0,1,2,7,0,0,1,1,0,1.558133093175438,-1.0466619409268554
attack-pattern--3de230d4-3e42-4041-b089-17e1128feded,Automated Collection,attack-pattern,T0802,ics,,ics-attack,collection,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0306220095693779,2,0,1,1,20,0,0,1,1,0,1.7101182970896196,-0.5935061048793285
attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b,Block Reporting Message,attack-pattern,T0804,ics,,ics-attack,inhibit-response-function,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0286549707602339,2,0,1,1,23,0,0,1,1,0,1.7058789353322155,-0.5871731469286134
attack-pattern--40b300ba-f553-48bf-862e-9471b220d455,Unauthorized Command Message,attack-pattern,T0855,ics,,ics-attack,impair-process-control,13,0,13,0.0684210526315789,0.0684210526315789,0.0,0.0,0.0696594427244582,2,0,1,1,28,0,0,1,-1,1,4.336928652184018,1.5218550595963976
attack-pattern--493832d9-cea6-4b63-abe7-9a65a6473675,Data Destruction,attack-pattern,T0809,ics,,ics-attack,inhibit-response-function,7,0,7,0.0368421052631578,0.0368421052631578,0.0,0.0,0.0424561403508771,2,0,1,1,16,0,0,1,1,0,2.3412364804801413,-0.08487747822103225
attack-pattern--4c2e1408-9d68-4187-8e6b-a77bc52700ec,Manipulation of View,attack-pattern,T0832,ics,,ics-attack,impact,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0286549707602339,2,0,1,1,20,0,0,1,1,0,1.674081448924167,-0.6014890766121332
attack-pattern--53a26eee-1080-4d17-9762-2027d5a1b805,Indicator Removal on Host,attack-pattern,T0872,ics,,ics-attack,evasion,4,0,4,0.0210526315789473,0.0210526315789473,0.0,0.0,0.0280701754385964,0,0,1,1,25,0,0,1,1,0,1.5550660022208065,-0.682328874676747
attack-pattern--53a48c74-0025-45f4-b04a-baa853df8204,I/O Image,attack-pattern,T0877,ics,,ics-attack,collection,2,0,2,0.0105263157894736,0.0105263157894736,0.0,0.0,0.0105263157894736,3,0,1,1,9,0,0,1,1,0,0.5067746980591166,-1.5158466154409218
attack-pattern--56ddc820-6cfb-407f-850b-52c035d123ac,Denial of View,attack-pattern,T0815,ics,,ics-attack,impact,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0286549707602339,2,0,1,1,14,0,0,1,1,0,1.6104864761080704,-0.6301209359791728
attack-pattern--5a2610f6-9fff-41e1-bc27-575ca20383d4,Execution through API,attack-pattern,T0871,ics,,ics-attack,execution,5,0,5,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0286549707602339,0,0,1,1,21,0,0,1,1,0,1.7517376920495786,-0.45919884054562754
attack-pattern--5e0f75da-e108-4688-a6de-a4f07cc2cbe3,Supply Chain Compromise,attack-pattern,T0862,ics,,ics-attack,initial-access,8,0,8,0.0421052631578947,0.0421052631578947,0.0,0.0,0.0421052631578947,1,0,1,1,23,0,0,1,1,0,2.6708856421994644,0.2557061223627573
attack-pattern--5fa00fdd-4a55-4191-94a0-564181d7fec2,Loss of Safety,attack-pattern,T0880,ics,,ics-attack,impact,3,0,3,0.0157894736842105,0.0157894736842105,0.0,0.0,0.018796992481203,5,0,1,1,14,0,0,1,1,0,0.8725898369467283,-1.356094899665739
